dept_no,dept_name,emp_no,title,first_name,last_name,from_date,to_date
d001,Marketing,247311,Senior Staff,Pranay,Bolsens,1985-03-20,9999-01-01
d001,Marketing,27630,Senior Staff,Rutger,Schwartzburd,1985-03-21,9999-01-01
d001,Marketing,461645,Senior Staff,Shuzo,Lakshmanan,1985-03-21,9999-01-01
d001,Marketing,287907,Senior Staff,Yakkov,Peot,1985-03-21,9999-01-01
d001,Marketing,494349,Senior Staff,Remco,Silva,1985-03-22,9999-01-01
d001,Marketing,279762,Senior Staff,Rildo,Bael,1985-03-23,9999-01-01
d001,Marketing,75785,Senior Staff,Zissis,Irland,1985-03-24,9999-01-01
d001,Marketing,42663,Senior Staff,Lech,Barreiro,1985-03-24,9999-01-01
d001,Marketing,442774,Senior Staff,Phuoc,Peral,1985-03-25,9999-01-01
d001,Marketing,78350,Senior Staff,Eric,Kobara,1985-03-25,9999-01-01
d001,Marketing,251773,Senior Staff,Mokhtar,Morrey,1985-03-25,9999-01-01
d001,Marketing,454486,Senior Staff,Kristinn,Lalonde,1985-03-25,9999-01-01
d001,Marketing,222660,Senior Staff,Moriyoshi,Swiss,1985-03-26,9999-01-01
d001,Marketing,82998,Senior Staff,Mary,Linares,1985-03-26,9999-01-01
d001,Marketing,42503,Senior Staff,Pranav,Skogmar,1985-03-26,9999-01-01
d001,Marketing,35064,Senior Staff,Sanjiv,Rosenbaum,1985-03-27,9999-01-01
d001,Marketing,255225,Senior Staff,Jiang,Irland,1985-03-27,9999-01-01
d001,Marketing,261302,Senior Staff,Make,Randi,1985-03-28,9999-01-01
d001,Marketing,253042,Senior Staff,Mariangiola,Matzke,1985-03-28,9999-01-01
d001,Marketing,98045,Senior Staff,Teiji,Setia,1985-03-28,9999-01-01
d001,Marketing,249200,Senior Staff,Munehiko,Kakkar,1985-03-29,9999-01-01
d001,Marketing,243523,Senior Staff,Maja,Pepe,1985-03-30,9999-01-01
d001,Marketing,234860,Senior Staff,Fun,Emmerich,1985-03-30,9999-01-01
d001,Marketing,82572,Senior Staff,Moie,Brattka,1985-04-01,9999-01-01
d001,Marketing,408743,Senior Staff,Bluma,Walstra,1985-04-01,9999-01-01
d001,Marketing,408128,Senior Staff,Berna,Puppe,1985-04-02,9999-01-01
d001,Marketing,465801,Senior Staff,Bernardo,Koshino,1985-04-02,9999-01-01
d001,Marketing,41724,Senior Staff,Faiza,Bage,1985-04-02,9999-01-01
d001,Marketing,75711,Senior Staff,Zorica,Pezzoli,1985-04-03,9999-01-01
d001,Marketing,270211,Senior Staff,Aamod,Kumaresan,1985-04-03,9999-01-01
d001,Marketing,283739,Senior Staff,Feiyu,Stanfel,1985-04-03,9999-01-01
d001,Marketing,83344,Senior Staff,Geraldo,Kampfer,1985-04-04,9999-01-01
d001,Marketing,235882,Senior Staff,Christoph,Crabtree,1985-04-04,9999-01-01
d001,Marketing,84386,Senior Staff,Clyde,Itzfeldt,1985-04-04,9999-01-01
d001,Marketing,432296,Senior Staff,Leandro,Mitchem,1985-04-04,9999-01-01
d001,Marketing,467473,Senior Staff,Nevin,Zobel,1985-04-05,9999-01-01
d001,Marketing,266821,Senior Staff,Akeno,Cooke,1985-04-06,9999-01-01
d001,Marketing,486326,Senior Staff,Przemyslawa,Wilharm,1985-04-07,9999-01-01
d001,Marketing,282776,Senior Staff,Kenroku,Angelopoulos,1985-04-07,9999-01-01
d001,Marketing,236591,Senior Staff,Insup,Reinhard,1985-04-08,9999-01-01
d001,Marketing,67766,Senior Staff,Berto,Monarch,1985-04-08,9999-01-01
d001,Marketing,428310,Senior Staff,Ronnie,Badr,1985-04-08,9999-01-01
d001,Marketing,91217,Senior Staff,Xuedong,Nilsson,1985-04-09,9999-01-01
d001,Marketing,424654,Senior Staff,Martien,Peak,1985-04-09,9999-01-01
d001,Marketing,208842,Senior Staff,Kien,Jansch,1985-04-09,9999-01-01
d001,Marketing,269911,Senior Staff,Yakichi,Lienhardt,1985-04-09,9999-01-01
d001,Marketing,477337,Senior Staff,Margareta,Osgood,1985-04-09,9999-01-01
d001,Marketing,81167,Senior Staff,Yurij,Francisci,1985-04-10,9999-01-01
d001,Marketing,266984,Senior Staff,Ohad,McAffer,1985-04-10,9999-01-01
d001,Marketing,102344,Senior Staff,Arne,Karnin,1985-04-10,9999-01-01
d001,Marketing,27426,Senior Staff,Moni,Bernini,1985-04-10,9999-01-01
d001,Marketing,36731,Senior Staff,Zongyan,Liesche,1985-04-11,9999-01-01
d001,Marketing,289556,Senior Staff,Mantis,Henseler,1985-04-11,9999-01-01
d001,Marketing,106441,Senior Staff,Erzsebet,Narahari,1985-04-11,9999-01-01
d001,Marketing,17668,Senior Staff,Pohua,Simkin,1985-04-12,9999-01-01
d001,Marketing,204607,Senior Staff,Jianwen,Remmele,1985-04-12,9999-01-01
d001,Marketing,91029,Senior Staff,Navin,Crooks,1985-04-12,9999-01-01
d001,Marketing,407968,Senior Staff,Tadahiko,Olano,1985-04-14,9999-01-01
d001,Marketing,288642,Senior Staff,Shahab,Versino,1985-04-15,9999-01-01
d001,Marketing,107853,Senior Staff,Sverrir,Doering,1985-04-16,9999-01-01
d001,Marketing,469705,Senior Staff,Denis,Kamber,1985-04-16,9999-01-01
d001,Marketing,494004,Senior Staff,Sanjeeva,Shimshoni,1985-04-16,9999-01-01
d001,Marketing,403437,Senior Staff,Jaideep,Baik,1985-04-16,9999-01-01
d001,Marketing,276293,Senior Staff,Munehiko,Covnot,1985-04-16,9999-01-01
d001,Marketing,84806,Senior Staff,Subhada,Oberman,1985-04-17,9999-01-01
d001,Marketing,263350,Senior Staff,Guozhong,Schiper,1985-04-17,9999-01-01
d001,Marketing,450263,Senior Staff,Manibrata,Pepe,1985-04-18,9999-01-01
d001,Marketing,18943,Senior Staff,Anneli,Rando,1985-04-18,9999-01-01
d001,Marketing,420850,Senior Staff,Sanjit,Serna,1985-04-18,9999-01-01
d001,Marketing,66185,Senior Staff,Ishfaq,Peng,1985-04-18,9999-01-01
d001,Marketing,58085,Senior Staff,Danel,Ladret,1985-04-18,9999-01-01
d001,Marketing,440626,Senior Staff,Sergi,Paciorek,1985-04-20,9999-01-01
d001,Marketing,105583,Senior Staff,Guoxiang,Anger,1985-04-20,9999-01-01
d001,Marketing,30975,Senior Staff,Kwok,Chandrasekhar,1985-04-20,9999-01-01
d001,Marketing,417384,Senior Staff,Mansur,Valtorta,1985-04-20,9999-01-01
d001,Marketing,51866,Senior Staff,Hilary,Rosar,1985-04-21,9999-01-01
d001,Marketing,19171,Senior Staff,Ziva,Magliocco,1985-04-22,9999-01-01
d001,Marketing,418900,Senior Staff,Turgut,Schueller,1985-04-22,9999-01-01
d001,Marketing,44869,Senior Staff,JoAnne,Serov,1985-04-22,9999-01-01
d001,Marketing,465056,Senior Staff,Tadanori,Peyn,1985-04-23,9999-01-01
d001,Marketing,401828,Senior Staff,Anoosh,Quittner,1985-04-23,9999-01-01
d001,Marketing,473272,Senior Staff,Wonhee,Zhiwei,1985-04-23,9999-01-01
d001,Marketing,84393,Senior Staff,Marke,Yemenis,1985-04-23,9999-01-01
d001,Marketing,240642,Senior Staff,Jaber,Schahn,1985-04-25,9999-01-01
d001,Marketing,492282,Senior Staff,Joydip,Vilarrasa,1985-04-25,9999-01-01
d001,Marketing,434696,Senior Staff,Bader,Rosti,1985-04-25,9999-01-01
d001,Marketing,87165,Senior Staff,Aamod,Kaminger,1985-04-26,9999-01-01
d001,Marketing,246053,Senior Staff,King,Claffy,1985-04-26,9999-01-01
d001,Marketing,432314,Senior Staff,Turgut,Ballarin,1985-04-26,9999-01-01
d001,Marketing,70216,Senior Staff,Demos,Domenig,1985-04-26,9999-01-01
d001,Marketing,465424,Senior Staff,Mohammad,Erie,1985-04-26,9999-01-01
d001,Marketing,232422,Senior Staff,Zorica,Swist,1985-04-26,9999-01-01
d001,Marketing,481009,Senior Staff,Sajjan,Ranft,1985-04-26,9999-01-01
d001,Marketing,484090,Senior Staff,Shahab,Ramras,1985-04-27,9999-01-01
d001,Marketing,408488,Senior Staff,Navin,Edelhoff,1985-04-27,9999-01-01
d001,Marketing,285131,Senior Staff,Krassimir,Encarnacion,1985-04-29,9999-01-01
d001,Marketing,265459,Senior Staff,Gil,Garnier,1985-04-29,9999-01-01
d001,Marketing,224407,Senior Staff,Mizuhito,McClure,1985-04-29,9999-01-01
d001,Marketing,202859,Senior Staff,Quingbo,Uchoa,1985-04-30,9999-01-01
d001,Marketing,440543,Senior Staff,Pragnesh,Schlegelmilch,1985-04-30,9999-01-01
d001,Marketing,491114,Senior Staff,Maia,Uehara,1985-04-30,9999-01-01
d001,Marketing,276336,Senior Staff,Eran,Tchuente,1985-05-01,9999-01-01
d001,Marketing,34673,Senior Staff,Unal,Pews,1985-05-01,9999-01-01
d001,Marketing,464880,Senior Staff,Persi,Ruther,1985-05-02,9999-01-01
d001,Marketing,15956,Senior Staff,Elvia,Matzen,1985-05-03,9999-01-01
d001,Marketing,244286,Senior Staff,Manohar,Pettit,1985-05-03,9999-01-01
d001,Marketing,482711,Senior Staff,Alois,Jarecki,1985-05-04,9999-01-01
d001,Marketing,437164,Senior Staff,Janche,Rodite,1985-05-04,9999-01-01
d001,Marketing,230348,Senior Staff,Yongmao,Awdeh,1985-05-04,9999-01-01
d001,Marketing,17954,Senior Staff,Zhigen,Spelt,1985-05-05,9999-01-01
d001,Marketing,454784,Senior Staff,Abdulah,Pettis,1985-05-05,9999-01-01
d001,Marketing,97660,Senior Staff,Mantis,Pramanik,1985-05-05,9999-01-01
d001,Marketing,495423,Senior Staff,Gritta,Kroll,1985-05-06,9999-01-01
d001,Marketing,258048,Senior Staff,Arie,Pehl,1985-05-07,9999-01-01
d001,Marketing,466852,Senior Staff,Akemi,Warwick,1985-05-07,9999-01-01
d001,Marketing,22776,Senior Staff,Ekawit,Whitcomb,1985-05-07,9999-01-01
d001,Marketing,33137,Senior Staff,Shietung,Ranon,1985-05-07,9999-01-01
d001,Marketing,35517,Senior Staff,Mani,Hofstetter,1985-05-08,9999-01-01
d001,Marketing,77335,Senior Staff,Sergi,Stentiford,1985-05-08,9999-01-01
d001,Marketing,290679,Senior Staff,Kristine,Munoz,1985-05-08,9999-01-01
d001,Marketing,232161,Senior Staff,Terresa,Kushner,1985-05-08,9999-01-01
d001,Marketing,478435,Senior Staff,Constantijn,Schwabacher,1985-05-09,9999-01-01
d001,Marketing,102723,Senior Staff,Otilia,Rothenberg,1985-05-09,9999-01-01
d001,Marketing,21851,Senior Staff,Falguni,Budinsky,1985-05-09,9999-01-01
d001,Marketing,431408,Senior Staff,Sachio,Ebeling,1985-05-10,9999-01-01
d001,Marketing,257785,Senior Staff,Kristina,Peris,1985-05-10,9999-01-01
d001,Marketing,257992,Senior Staff,Kazuhito,Besancenot,1985-05-10,9999-01-01
d001,Marketing,482785,Senior Staff,Sampalli,Roison,1985-05-10,9999-01-01
d001,Marketing,272165,Senior Staff,Basem,Barinka,1985-05-11,9999-01-01
d001,Marketing,279691,Senior Staff,Peternela,Lindenbaum,1985-05-11,9999-01-01
d001,Marketing,446843,Senior Staff,Mani,Rahimi,1985-05-11,9999-01-01
d001,Marketing,41014,Senior Staff,Sachin,Atrawala,1985-05-11,9999-01-01
d001,Marketing,428425,Senior Staff,Elvia,Millington,1985-05-12,9999-01-01
d001,Marketing,299589,Senior Staff,Udi,Jullig,1985-05-12,9999-01-01
d001,Marketing,453928,Senior Staff,Constantino,Underwood,1985-05-12,9999-01-01
d001,Marketing,229698,Senior Staff,Tsutomu,Lienhardt,1985-05-13,9999-01-01
d001,Marketing,28534,Senior Staff,Zhonghui,Levasseur,1985-05-14,9999-01-01
d001,Marketing,443325,Senior Staff,Rasiah,Stanger,1985-05-16,9999-01-01
d001,Marketing,450125,Senior Staff,Zongyan,Kossowski,1985-05-16,9999-01-01
d001,Marketing,97424,Senior Staff,Jaana,Beznosov,1985-05-17,9999-01-01
d001,Marketing,219382,Senior Staff,Ramachenga,Bennis,1985-05-18,9999-01-01
d001,Marketing,250961,Senior Staff,Vasilii,Manderick,1985-05-18,9999-01-01
d001,Marketing,104473,Senior Staff,Guozhong,VanScheik,1985-05-18,9999-01-01
d001,Marketing,455972,Senior Staff,Paris,Vanwelkenhuysen,1985-05-18,9999-01-01
d001,Marketing,232567,Senior Staff,Mats,Gini,1985-05-18,9999-01-01
d001,Marketing,277148,Senior Staff,Shuji,Syrotiuk,1985-05-19,9999-01-01
d001,Marketing,34482,Senior Staff,Jouko,Lortz,1985-05-19,9999-01-01
d001,Marketing,430251,Senior Staff,Idoia,Peac,1985-05-20,9999-01-01
d001,Marketing,27362,Senior Staff,Hironoby,Reghbati,1985-05-20,9999-01-01
d001,Marketing,484480,Senior Staff,Doohun,Salvesen,1985-05-20,9999-01-01
d001,Marketing,477358,Senior Staff,Minghong,Siegrist,1985-05-21,9999-01-01
d001,Marketing,488220,Senior Staff,Tetsurou,Ouhyoung,1985-05-21,9999-01-01
d001,Marketing,249622,Senior Staff,Surveyors,Lanteri,1985-05-21,9999-01-01
d001,Marketing,437012,Senior Staff,Yongqiao,Strehl,1985-05-21,9999-01-01
d001,Marketing,401996,Senior Staff,Jianwen,Angelov,1985-05-21,9999-01-01
d001,Marketing,280025,Senior Staff,Kazunori,Bernardeschi,1985-05-22,9999-01-01
d001,Marketing,450238,Senior Staff,Xuejun,Murthy,1985-05-22,9999-01-01
d001,Marketing,82002,Senior Staff,King,Farris,1985-05-23,9999-01-01
d001,Marketing,225200,Senior Staff,Shahab,Wuwongse,1985-05-23,9999-01-01
d001,Marketing,46316,Senior Staff,Padma,Karnin,1985-05-24,9999-01-01
d001,Marketing,214560,Senior Staff,Pradeep,Erez,1985-05-24,9999-01-01
d001,Marketing,402231,Senior Staff,Shim,Klerer,1985-05-24,9999-01-01
d001,Marketing,71320,Senior Staff,Xuejia,Caine,1985-05-25,9999-01-01
d001,Marketing,259196,Senior Staff,Gila,Gerlach,1985-05-25,9999-01-01
d001,Marketing,445922,Senior Staff,Guiseppe,Munck,1985-05-26,9999-01-01
d001,Marketing,33519,Senior Staff,Berna,Cromarty,1985-05-26,9999-01-01
d001,Marketing,11375,Senior Staff,Dmitri,Noriega,1985-05-27,9999-01-01
d001,Marketing,464697,Senior Staff,Hugh,Koblitz,1985-05-27,9999-01-01
d001,Marketing,251392,Senior Staff,Martina,Bultermann,1985-05-27,9999-01-01
d001,Marketing,207109,Senior Staff,Gregory,Begiun,1985-05-28,9999-01-01
d001,Marketing,299547,Senior Staff,Diederik,Ananiadou,1985-05-29,9999-01-01
d001,Marketing,270026,Senior Staff,Moss,Ghalwash,1985-05-30,9999-01-01
d001,Marketing,465455,Senior Staff,Zhiguo,Hiroyama,1985-05-30,9999-01-01
d001,Marketing,477806,Senior Staff,Matt,Talmon,1985-05-30,9999-01-01
d001,Marketing,52763,Senior Staff,Tristan,Vandervoorde,1985-05-30,9999-01-01
d001,Marketing,50596,Senior Staff,Susanna,Suomi,1985-05-30,9999-01-01
d001,Marketing,276733,Senior Staff,Sungwon,Schonegge,1985-05-30,9999-01-01
d001,Marketing,220593,Senior Staff,Kazuhisa,Lorin,1985-05-31,9999-01-01
d001,Marketing,98482,Senior Staff,Yuguang,Muchinsky,1985-06-01,9999-01-01
d001,Marketing,491380,Senior Staff,Phillip,Linares,1985-06-01,9999-01-01
d001,Marketing,80967,Senior Staff,Kyoichi,Alpin,1985-06-02,9999-01-01
d001,Marketing,215724,Senior Staff,Shuho,Walston,1985-06-02,9999-01-01
d001,Marketing,252846,Senior Staff,Bojan,Giarratana,1985-06-02,9999-01-01
d001,Marketing,248351,Senior Staff,Jaana,Milicia,1985-06-02,9999-01-01
d001,Marketing,82974,Senior Staff,Vatsa,Nyanchama,1985-06-03,9999-01-01
d001,Marketing,60321,Senior Staff,Pranay,Rikino,1985-06-03,9999-01-01
d001,Marketing,239688,Senior Staff,Fai,Ligten,1985-06-03,9999-01-01
d001,Marketing,478121,Senior Staff,Yucel,Ramaiah,1985-06-03,9999-01-01
d001,Marketing,295427,Senior Staff,Toshimori,Hainaut,1985-06-04,9999-01-01
d001,Marketing,24765,Senior Staff,Aram,Rahier,1985-06-04,9999-01-01
d001,Marketing,206420,Senior Staff,Mang,Codenie,1985-06-04,9999-01-01
d001,Marketing,478818,Senior Staff,Ferdinand,Kobuchi,1985-06-05,9999-01-01
d001,Marketing,274799,Senior Staff,Sudhanshu,Kavraki,1985-06-05,9999-01-01
d001,Marketing,254628,Senior Staff,Gor,Chiola,1985-06-05,9999-01-01
d001,Marketing,26966,Senior Staff,Abdulah,Poujol,1985-06-06,9999-01-01
d001,Marketing,473761,Senior Staff,Guozhong,Pezzoli,1985-06-06,9999-01-01
d001,Marketing,243179,Senior Staff,Irene,Narwekar,1985-06-06,9999-01-01
d001,Marketing,38970,Senior Staff,Amabile,Merlo,1985-06-06,9999-01-01
d001,Marketing,425337,Senior Staff,Taiji,Kusakabe,1985-06-06,9999-01-01
d001,Marketing,20674,Senior Staff,Maria,Avouris,1985-06-07,9999-01-01
d001,Marketing,459725,Senior Staff,Jiakeng,Guting,1985-06-07,9999-01-01
d001,Marketing,226991,Senior Staff,Maha,Schreiter,1985-06-07,9999-01-01
d001,Marketing,420797,Senior Staff,Edwin,Pehl,1985-06-07,9999-01-01
d001,Marketing,449675,Senior Staff,Ottavia,Frezza,1985-06-07,9999-01-01
d001,Marketing,407686,Senior Staff,Rimli,Beetstra,1985-06-08,9999-01-01
d001,Marketing,268075,Senior Staff,Jongsuk,Harllee,1985-06-08,9999-01-01
d001,Marketing,269783,Senior Staff,Kersti,Fairtlough,1985-06-08,9999-01-01
d001,Marketing,215633,Senior Staff,Piyawadee,Dredge,1985-06-09,9999-01-01
d001,Marketing,481456,Senior Staff,Martien,Perna,1985-06-09,9999-01-01
d001,Marketing,46380,Senior Staff,Yechiam,Birjandi,1985-06-09,9999-01-01
d001,Marketing,107044,Senior Staff,Xuejun,Fontan,1985-06-09,9999-01-01
d001,Marketing,215012,Senior Staff,Patricia,Cusworth,1985-06-10,9999-01-01
d001,Marketing,98847,Senior Staff,Toshimori,Brookman,1985-06-10,9999-01-01
d001,Marketing,411587,Senior Staff,Spyrose,Kambil,1985-06-11,9999-01-01
d001,Marketing,295315,Senior Staff,Reuven,Merks,1985-06-11,9999-01-01
d001,Marketing,95645,Senior Staff,Sudharsan,Binkley,1985-06-11,9999-01-01
d001,Marketing,49243,Senior Staff,Doowon,Krohn,1985-06-12,9999-01-01
d001,Marketing,414800,Senior Staff,Gro,Ulupinar,1985-06-13,9999-01-01
d001,Marketing,49910,Senior Staff,Pascal,Polajnar,1985-06-14,9999-01-01
d001,Marketing,432899,Senior Staff,Radhakrishnan,Mitsuhashi,1985-06-14,9999-01-01
d001,Marketing,476825,Senior Staff,Hiroyasu,Kitsuregawa,1985-06-15,9999-01-01
d001,Marketing,90534,Senior Staff,Sachio,Stifter,1985-06-15,9999-01-01
d001,Marketing,461650,Senior Staff,Marjo,Backhouse,1985-06-15,9999-01-01
d001,Marketing,21117,Senior Staff,Yongmao,Chiodo,1985-06-16,9999-01-01
